"GEOID","CountyFIPS","StateAbbr","COUNTY","E_TOTPOP","M_TOTPOP","Tract_Generation","Tract_NAMEPCAP","Tract_PLNOXAN","Tract_PLSO2AN","Tract_PLCH4AN","Tract_UNNOX","Tract_UNSO2","Tract_UNCH4","RPL_EBM","RPL_HVM","RPL_SVM","E_PM","E_OZONE","E_DSLPM","E_COAL","EP_UNINSUR","EP_AGE65","EP_ASTHMA","EP_BPHIGH","EP_CANCER","EP_MHLTH","geometry"
"37057061400","37057","NC","Davidson",3141,429,-47,1.8,0.065,0.006,0.284,0.065,0.006,0.284,0.7585,0.8,0.9986,9.85,0.67,0.4,0,31,10,12.8,42.3,5.8,22.2,c(-80.242154, 35.830877)
"37057061803","37057","NC","Davidson",3107,388,-50,6.6,NA,NA,NA,NA,NA,NA,0.9812,0.6,0.6481,9.84,1,0.37,0,10.4,20.3,10.2,37.3,7,15.5,c(-80.277778, -80.2594, 35.755, 35.7736)
"37057062001","37057","NC","Davidson",4513,472,140934.999,33,NA,NA,NA,NA,NA,NA,0.5328,0.6,0.5132,9.5,0.67,0.21,0,13.5,20.8,10.1,36.6,7.6,15.6,c(-80.2339, 35.6008)
"37059080400","37059","NC","Davie",4883,414,17583,10,NA,NA,NA,NA,NA,NA,0.6216,0.2,0.2008,9.61,0.67,0.23,0,4.8,24.3,9.2,33.2,7.5,12.6,c(-80.376, -80.416944, 35.933, 35.903333)
"37059080500","37059","NC","Davie",4635,442,9218,5,NA,NA,NA,NA,NA,NA,0.7832,0,0.7203,9.56,0.33,0.26,0,10.2,15.1,10,34.8,6.8,14.7,c(-80.541944, 35.878611)
"37063001801","37063","NC","Durham",8618,891,18622,7.2,NA,NA,NA,NA,NA,NA,0.5498,0.4,0.7635,9.82,0,0.31,0,21.3,11.4,10.5,36.2,5.7,14.7,c(-78.86, -78.823889, 36.0311, 36.08)
"37063001802","37063","NC","Durham",8121,877,5799,3.5,NA,NA,NA,NA,NA,NA,0.6418,0.8,0.9866,10.02,0,0.44,0,29,10.7,12.1,39.5,4.8,18.4,c(-78.848475, 36.004941)
"37063002100","37063","NC","Durham",9200,962,8615,5,NA,NA,NA,NA,NA,NA,0.2639,0.4,0.3942,9.46,0,0.19,0,4.1,18,9,35.2,7.7,11.8,c(-78.949586, 36.230561)
"37063980100","37063","","Durham",0,12,1540,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.15,0,0.51,0,NA,NA,NA,NA,NA,NA,c(-78.873333, 35.911667)
"37065020600","37065","NC","Edgecombe",2364,353,232696,100,NA,NA,NA,NA,NA,NA,0.5331,0.8,0.8703,8.84,0,0.18,0,18.6,18.5,12.4,42.8,5.6,18.3,c(-77.696443, 36.003272)
