"FIPS_Code","Unemployment_rate_2000","Unemployment_rate_2001","Unemployment_rate_2002","Unemployment_rate_2003","Unemployment_rate_2004","Unemployment_rate_2005","Unemployment_rate_2006","Unemployment_rate_2007","Unemployment_rate_2008","Unemployment_rate_2009","Unemployment_rate_2010","Unemployment_rate_2011","Unemployment_rate_2012","Unemployment_rate_2013","Unemployment_rate_2014","Unemployment_rate_2015","Unemployment_rate_2016","Unemployment_rate_2017","Unemployment_rate_2018","Unemployment_rate_2019","Unemployment_rate_2020","Unemployment_rate_2021","Unemployment_rate_2022"
2280,9.7,10.1,11.2,12,12.4,10.1,9.6,9.5,10.3,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2282,6.8,8.8,9.1,10.9,10.7,10.6,9.7,6.8,7.2,11.8,11.1,11,9.8,9.5,9.9,8.5,8.2,8.6,7.7,6.8,8.6,7.1,5.1
2290,11.5,10.8,12.8,13.3,12,11.8,13.1,13.6,13.6,14.4,17.8,18.8,17.6,18.4,18.7,17.8,17.2,16.6,13.7,13.1,12.7,12.3,7.9
4000,4,4.7,6.2,5.8,5,4.7,4.3,3.8,5.8,9.7,10.3,9.4,8.3,7.8,6.8,6.1,5.5,5,4.8,4.8,7.8,5.1,3.8
4001,9,9.4,11.1,11.9,11.4,10.4,10.2,8.6,11,15.4,16.3,18.3,19,18.5,15.7,13.3,11.6,10.4,9.9,10,12.7,9.2,7.7
4003,4.5,4.8,6,5.7,4.9,4.8,4.6,4,5.5,7.8,9.3,9.5,9,9.3,8.4,7.3,6.3,5.6,5.6,5.7,6.9,5.1,4.4
4005,4.4,4.7,5.5,5.7,5.3,4.9,4.5,3.7,5.3,8.3,9.8,9.5,8.6,8.2,7.1,6.5,6.1,5.6,5.5,5.7,9.6,6.2,4.3
4007,5.3,5.8,7.6,7.3,6.4,5.9,5.3,4.2,6.1,11.1,12.4,11.5,10.2,9.7,8.3,7.9,7.3,6.1,5.8,5.6,7.6,5.2,4.2
4009,5.5,6.3,7.8,7,6.6,6,5.2,4.2,6.7,14.7,12.8,9.9,8.5,7.8,7.4,7.4,6.8,5.5,5.1,4.9,6.2,4.3,3.6
4011,4.2,7.2,7.6,7,5.1,4.8,3.9,3.2,5,18.5,16.3,11,8.2,5.9,6.5,7.9,7.7,5.1,4.1,4,5.3,4.1,2.9
4012,6.4,6.7,6.9,7.1,6.7,6.7,5.9,5,7.3,9.6,10.2,9.8,8.6,8.2,7.6,7.5,6.1,5.5,6.2,5.9,7.1,5.3,4.7
4013,3.2,4.2,5.7,5.2,4.4,4,3.7,3.2,5.1,8.9,9.5,8.5,7.3,6.6,5.8,5.1,4.7,4.3,4.1,4.1,7.3,4.6,3.3
4015,4.5,4.8,5.7,4.9,4.4,4.3,4.4,4.6,7.2,11.1,12.9,12.2,11,10.4,8.7,8,6.7,6,5.7,5.8,9.9,5.7,4.5
